,edibility,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkRoot,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,veilColor,ringNumber,ringType,sporePrintColor,population,habitat
74,0.0,0,2,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,1
75,0.0,5,3,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,1
76,,5,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,3
77,,5,2,4,0,5,1,1,0,5,1,2,2,2,7,7,2,1,0,3,0,1
78,1.0,5,2,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,1
79,,5,2,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,1
80,0.0,0,2,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,1
81,1.0,5,3,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,1
82,0.0,5,0,4,0,5,1,1,0,7,1,2,0,2,7,7,2,1,0,2,3,1
83,0.0,0,2,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,1
84,,0,3,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,1
85,0.0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,3
86,0.0,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,3
87,0.0,0,3,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,3
88,,5,2,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,2,3
89,,5,2,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,1
90,0.0,5,2,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,3
91,0.0,5,3,8,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,3,4,5
92,0.0,5,2,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,4,1
93,0.0,5,3,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
94,0.0,2,3,4,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,2,4,1
95,0.0,2,2,3,0,5,1,1,0,4,1,2,2,2,7,7,2,1,0,3,0,1
96,,5,2,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,3
97,0.0,5,2,8,0,5,1,1,0,5,1,2,2,0,7,7,2,1,0,2,3,1
98,0.0,0,2,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,1
99,0.0,2,0,3,0,5,1,1,0,3,1,2,2,2,7,7,2,1,0,3,0,1
100,0.0,5,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,1
101,0.0,0,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,3
102,,0,2,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
103,,0,3,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,3
104,0.0,5,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,3
105,0.0,2,2,8,1,0,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
106,,5,3,8,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,3,4,5
107,0.0,2,0,8,1,3,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
108,0.0,5,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,1
109,0.0,5,2,4,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,3,4,1
110,0.0,0,2,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,1
111,,0,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,3
112,,5,3,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,2,1
113,0.0,5,0,3,0,5,1,1,0,4,1,2,0,0,7,7,2,1,0,2,3,1
114,1.0,2,0,8,0,5,1,1,0,4,1,2,2,0,7,7,2,1,0,3,0,1
115,,5,3,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,3
116,,0,2,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,2,1
117,,0,3,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,3
118,,5,3,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
119,,5,2,4,0,5,1,1,0,7,1,2,0,2,7,7,2,1,0,3,0,1
120,1.0,5,3,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,1
121,0.0,0,3,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,1
122,1.0,5,3,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,1
123,0.0,0,3,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,3
124,0.0,0,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,1
125,0.0,0,2,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,3
126,0.0,0,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,1
127,0.0,5,0,4,0,5,1,0,1,4,0,2,2,2,7,7,2,1,4,3,5,5
128,0.0,5,3,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,1
129,0.0,0,2,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
130,0.0,0,2,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,3
131,0.0,0,2,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,1
132,,5,0,3,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,3,5,5
133,0.0,0,2,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,1
134,0.0,0,3,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
135,1.0,0,3,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,3
136,0.0,0,3,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,2,3
137,0.0,0,3,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,1
138,1.0,5,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
139,0.0,0,2,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,1
140,,5,3,8,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,3,4,5
141,0.0,2,0,4,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,2,4,5
142,,5,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,3
143,,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,3,1
144,0.0,0,2,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,3
145,0.0,2,0,3,0,5,1,0,1,7,0,2,2,2,7,7,2,1,4,2,4,5
146,0.0,0,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,1
147,0.0,5,0,8,0,5,1,1,0,7,1,2,2,0,7,7,2,1,0,2,3,1
148,0.0,5,2,8,1,3,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
149,0.0,0,2,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,3
150,0.0,2,2,9,1,0,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
151,0.0,5,2,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,3
152,0.0,2,0,3,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,3,5,5
153,,0,2,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,1
154,,5,2,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
155,,5,3,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,3
156,0.0,2,2,8,1,0,1,1,1,5,1,0,2,2,7,7,2,1,4,3,4,0
157,0.0,5,3,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
158,0.0,0,2,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
159,0.0,5,2,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,1
160,0.0,5,0,8,0,5,1,1,0,3,1,2,0,2,7,7,2,1,0,2,3,1
161,0.0,5,2,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,3,4,5
162,0.0,0,2,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,1
163,,0,2,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,3
164,0.0,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,1
165,,0,3,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,1
166,0.0,5,2,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
167,0.0,0,2,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,3
168,,5,0,9,1,0,1,1,1,5,1,0,2,2,7,7,2,1,4,3,4,0
169,0.0,5,0,3,0,5,1,0,1,5,0,2,2,2,7,7,2,1,4,3,5,5
170,0.0,0,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,3
171,0.0,5,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,1
172,,5,3,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,1
173,0.0,5,3,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
174,,5,2,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,3
175,0.0,5,2,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,3,1
176,0.0,2,0,8,1,0,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
177,0.0,5,3,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,3
178,0.0,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,1
179,0.0,5,2,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,1
180,1.0,5,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,1
181,,5,3,4,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,2,4,5
182,0.0,0,2,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,1
183,0.0,5,0,3,0,5,1,0,1,5,0,2,2,2,7,7,2,1,4,2,5,5
184,,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,3,5
185,1.0,2,0,4,0,5,1,0,1,4,0,2,2,2,7,7,2,1,4,2,4,5
186,0.0,0,2,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,1
187,0.0,5,0,8,1,3,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
188,0.0,5,3,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
189,,0,3,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,1
190,0.0,5,2,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
191,0.0,5,2,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,3
192,0.0,5,2,8,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,2,4,5
193,0.0,5,2,8,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
194,0.0,5,3,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,3
195,0.0,5,2,4,0,5,1,1,0,7,1,2,0,2,7,7,2,1,0,2,3,1
196,0.0,5,2,4,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,3,3,1
197,0.0,0,3,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,3
198,0.0,0,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,1
199,0.0,0,3,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,3
200,0.0,2,0,4,0,5,1,0,1,4,0,2,2,2,7,7,2,1,4,3,4,5
201,0.0,5,2,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,3
202,0.0,0,3,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,1
203,0.0,0,3,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
204,,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,4,1
205,1.0,5,2,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,1
206,0.0,5,3,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,3
207,0.0,2,0,3,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,2,4,5
208,0.0,2,2,3,0,5,1,1,0,7,1,2,2,2,7,7,2,1,0,2,0,1
209,0.0,5,3,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,3
210,0.0,0,2,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,3
211,0.0,2,3,4,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,2,3,5
212,0.0,5,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,3
213,0.0,2,2,4,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,2,4,5
214,,5,3,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,1
215,0.0,5,3,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,3
216,0.0,5,3,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,3
217,0.0,2,0,4,0,5,1,1,0,3,1,2,2,2,7,7,2,1,0,2,3,1
218,0.0,5,2,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,2,3
219,,5,3,8,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,3,3,1
220,0.0,0,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,3
221,1.0,5,2,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,3
222,,0,3,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,3
223,0.0,0,3,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,3
224,0.0,0,3,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,1
225,0.0,2,0,3,0,5,1,0,1,7,0,2,2,2,7,7,2,1,4,3,5,5
226,0.0,5,0,3,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,2,5,5
227,0.0,0,3,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,1
228,1.0,5,2,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,3
229,0.0,0,3,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,1
230,0.0,5,2,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,3
231,1.0,0,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
232,,5,2,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,3
233,0.0,5,0,3,0,5,1,1,0,7,1,2,0,0,7,7,2,1,0,2,3,1
234,0.0,2,2,9,1,0,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
235,0.0,5,3,8,1,6,1,0,1,7,0,2,2,2,7,7,2,1,4,2,3,1
236,0.0,5,0,8,0,5,1,1,0,4,1,2,0,2,7,7,2,1,0,2,0,1
237,0.0,0,3,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
238,,5,2,9,1,3,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
239,,0,3,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,1
240,,5,3,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,1
241,0.0,5,0,4,1,5,1,0,0,7,1,0,2,2,3,6,2,1,4,3,5,0
242,0.0,0,3,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,3
243,1.0,5,2,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,3
244,,5,0,8,0,5,1,1,0,5,1,2,2,2,7,7,2,1,0,3,3,1
245,0.0,5,2,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
246,,5,3,8,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,3,4,1
247,0.0,5,3,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,1
248,,5,0,8,1,0,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
249,0.0,0,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,1
250,,5,3,8,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,4,5
251,1.0,5,2,9,1,0,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
252,,5,3,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,2,3
253,0.0,5,0,8,1,3,1,1,1,5,1,0,2,2,7,7,2,1,4,3,4,0
254,0.0,2,2,8,1,3,1,1,1,10,1,0,2,2,7,7,2,1,4,3,4,0
255,0.0,5,3,9,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,3
256,0.0,5,2,8,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,2,3,1
257,0.0,0,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,3
258,0.0,0,3,8,1,3,1,0,0,4,0,1,2,2,7,7,2,1,4,2,2,1
259,0.0,5,2,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,3
260,,5,3,4,1,6,1,0,1,5,0,2,2,2,7,7,2,1,4,3,4,5
261,1.0,0,2,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,2,2,1
262,0.0,0,3,8,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,2,1
263,0.0,5,3,4,1,6,1,0,1,10,0,2,2,2,7,7,2,1,4,2,4,5
264,,0,2,8,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,3
265,0.0,0,3,9,1,3,1,0,0,10,0,1,2,2,7,7,2,1,4,3,2,3
266,0.0,0,3,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,3,1
267,0.0,5,3,8,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,2,1
268,0.0,5,0,4,1,5,1,0,0,7,1,0,2,2,6,7,2,1,4,2,5,0
269,1.0,0,2,9,1,3,1,0,0,5,0,1,2,2,7,7,2,1,4,3,3,1
270,0.0,5,0,3,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,3,4,5
271,1.0,5,2,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,1
272,0.0,0,3,8,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,2,2,1
273,0.0,5,2,9,1,0,1,0,0,2,0,1,2,2,7,7,2,1,4,2,3,3
274,,2,0,9,1,0,1,1,1,7,1,0,2,2,7,7,2,1,4,3,4,0
275,,0,3,9,1,3,1,0,0,2,0,1,2,2,7,7,2,1,4,3,3,1
276,,5,0,4,0,5,1,1,0,5,1,2,2,0,7,7,2,1,0,3,0,1
277,0.0,5,0,9,1,3,1,1,1,5,1,0,2,2,7,7,2,1,4,3,4,0
278,0.0,5,2,9,1,0,1,0,0,5,0,1,2,2,7,7,2,1,4,3,2,3
279,0.0,2,2,3,0,5,1,1,0,5,1,2,2,0,7,7,2,1,0,2,3,1
280,1.0,5,0,4,0,5,1,0,1,2,0,2,2,2,7,7,2,1,4,3,5,5
281,0.0,2,2,3,0,5,1,1,0,3,1,2,0,0,7,7,2,1,0,3,0,1
282,,0,3,8,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,3,3,1
283,0.0,0,2,9,1,0,1,0,0,4,0,1,2,2,7,7,2,1,4,2,3,3
284,0.0,5,3,4,1,6,1,0,1,4,0,2,2,2,7,7,2,1,4,2,3,5
285,,5,3,9,1,0,1,0,0,10,0,1,2,2,7,7,2,1,4,3,3,1
286,0.0,5,0,4,0,5,1,1,0,3,1,2,2,0,7,7,2,1,0,3,3,1
287,0.0,5,0,4,0,5,1,1,0,7,1,2,0,0,7,7,2,1,0,2,0,1
288,,2,2,4,0,5,1,1,0,4,1,2,0,2,7,7,2,1,0,2,0,1
