,edibility,capShape,capSurface,capColor,bruises,odor,gillAttachment,gillSpacing,gillSize,gillColor,stalkShape,stalkSurfaceAboveRing,stalkSurfaceBelowRing,stalkColorAboveRing,stalkColorBelowRing,veilColor,ringNumber,ringType,sporePrintColor,population,habitat
48,e,f,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,s,p
49,e,x,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,s,g
50,e,x,s,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
51,e,b,s,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
52,p,x,y,n,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
53,p,x,s,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,v,u
54,e,b,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,m
55,e,f,f,g,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,a,g
56,e,b,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g
57,e,x,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,n,g
58,e,x,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,y,p
59,e,s,f,g,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
60,e,b,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m
61,e,b,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
62,e,b,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
63,e,b,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
64,e,f,s,n,f,n,f,w,b,k,t,s,s,w,w,w,o,e,k,a,g
65,e,x,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
66,e,f,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,s,g
67,e,x,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g
68,e,x,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u
69,e,f,f,y,t,l,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d
70,e,b,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
71,e,f,f,y,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
72,e,x,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,s,p
73,e,b,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
74,e,f,s,y,t,l,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d
75,e,x,s,w,t,l,f,w,n,n,t,s,s,w,w,w,o,p,u,v,d
76,e,f,y,n,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,y,p
77,p,x,y,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,v,u
78,e,f,y,n,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,y,g
79,e,x,s,n,f,n,f,w,b,k,t,f,s,w,w,w,o,e,n,s,g
80,p,x,y,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,s,g
81,e,f,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,n,y,u
82,e,x,f,g,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,s,g
83,e,x,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,s,g
84,e,x,s,n,f,n,f,w,b,k,t,s,s,w,w,w,o,e,k,s,g
85,e,b,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
86,e,x,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
87,e,f,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,y,g
88,e,s,f,n,f,n,f,c,n,n,e,s,s,w,w,w,o,p,n,v,u
89,e,x,f,n,f,n,f,c,n,n,e,s,s,w,w,w,o,p,n,y,u
90,e,b,s,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
91,e,x,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g
92,e,x,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m
93,e,x,s,n,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,a,g
94,e,x,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g
95,e,f,y,n,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,s,g
96,e,x,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,n,g
97,e,b,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g
98,e,x,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g
99,e,x,f,n,f,n,f,w,b,p,t,f,s,w,w,w,o,e,k,s,g
100,e,b,s,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,g
101,e,f,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,s,g
102,e,x,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,k,y,p
103,e,b,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g
104,e,x,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
105,e,x,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,g
106,e,b,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m
107,e,b,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
108,e,x,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,n,m
109,e,x,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g
110,e,s,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,y,u
111,e,x,f,w,t,a,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d
112,e,x,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
113,p,x,y,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,u
114,e,x,y,y,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,s,g
115,e,s,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,y,u
116,e,x,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,y,g
117,e,x,s,y,t,l,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d
118,e,s,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,y,u
119,p,x,s,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,v,g
120,e,x,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
121,p,f,y,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,g
122,e,f,s,g,f,n,f,w,b,k,t,s,s,w,w,w,o,e,n,a,g
123,e,x,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
124,e,x,s,w,f,n,f,w,b,n,t,s,f,w,w,w,o,e,k,s,g
125,e,b,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g
126,e,f,f,g,f,n,f,w,b,h,t,s,s,w,w,w,o,e,n,a,g
127,e,x,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,g
128,e,b,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
129,e,b,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
130,e,b,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m
131,e,f,s,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d
132,e,x,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m
133,e,f,s,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d
134,p,x,y,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,v,u
135,e,f,f,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
136,e,x,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
137,p,x,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,g
138,e,b,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,g
139,e,x,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p
140,e,b,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m
141,e,s,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
142,e,f,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p
143,e,x,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,n,g
144,e,x,f,g,f,n,f,w,b,k,t,f,f,w,w,w,o,e,k,s,g
145,e,f,f,w,f,n,f,w,b,k,t,s,f,w,w,w,o,e,n,a,g
146,e,x,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
147,e,b,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,n,g
148,e,b,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m
149,e,x,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
150,e,x,s,n,f,n,f,w,b,p,t,f,s,w,w,w,o,e,n,a,g
151,e,x,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g
152,e,s,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,v,u
153,e,x,s,w,t,a,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d
154,e,x,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,s,g
155,e,b,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,g
156,e,x,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,g
157,e,b,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m
158,e,b,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g
159,e,b,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m
160,e,b,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,n,g
161,e,x,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,y,u
162,e,f,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,y,g
163,e,x,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g
164,e,f,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p
165,e,b,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
166,e,b,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,m
167,e,x,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,y,g
168,e,b,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
169,e,x,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,y,u
170,e,b,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g
171,e,x,f,y,t,l,f,w,n,n,t,s,s,w,w,w,o,p,u,v,d
172,e,b,y,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
173,e,f,y,y,t,l,f,c,b,p,e,s,y,w,w,w,o,p,n,s,g
174,e,b,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
175,e,b,y,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,n,m
176,e,b,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g
177,e,x,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
178,e,b,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g
179,p,x,y,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u
180,e,s,f,n,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,y,u
181,e,f,f,n,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,v,u
182,e,x,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
183,e,f,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,s,p
184,p,x,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,g
185,e,b,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
186,e,f,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,k,v,u
187,e,b,y,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g
188,e,x,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,p
189,e,x,f,w,f,n,f,w,b,p,t,s,f,w,w,w,o,e,k,s,g
190,e,x,s,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
191,e,b,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m
192,e,f,s,y,t,a,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
193,e,x,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
194,e,f,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,y,u
195,e,b,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
196,e,x,s,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
197,e,x,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
198,e,f,s,w,t,a,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d
199,e,x,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
200,e,b,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
201,e,x,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g
202,e,x,f,w,f,n,f,w,b,h,t,f,s,w,w,w,o,e,k,s,g
203,e,f,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,y,p
204,p,x,s,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
205,e,b,s,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
206,e,b,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m
207,e,b,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
208,e,b,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,g
209,e,x,s,y,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
210,e,b,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
211,e,x,f,y,t,a,f,w,n,n,t,s,s,w,w,w,o,p,n,v,d
212,e,x,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,n,y,u
213,e,f,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,s,g
214,e,b,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
215,e,x,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g
216,e,x,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,g
217,e,x,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
218,e,s,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u
219,e,x,s,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,m
220,p,x,s,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,g
221,e,x,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,s,g
222,e,f,f,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d
223,e,x,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,m
224,e,b,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
225,e,x,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,g
226,e,x,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,g
227,p,x,y,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,v,u
228,e,b,s,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
229,e,x,f,g,f,n,f,c,n,n,e,s,s,w,w,w,o,p,k,y,u
230,p,x,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,s,u
231,e,x,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,y,p
232,e,f,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,k,v,u
233,e,b,s,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,n,g
234,e,x,f,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
235,e,x,y,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
236,e,b,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
237,e,x,y,y,t,l,f,c,b,n,e,s,y,w,w,w,o,p,k,s,g
238,e,f,y,y,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,s,p
239,e,f,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p
240,e,x,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
241,e,x,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
242,p,x,s,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,k,v,u
243,e,f,f,w,t,a,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d
244,e,x,s,w,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,g
245,e,x,s,w,t,l,f,w,n,p,t,s,s,w,w,w,o,p,u,v,d
246,e,x,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m
247,e,f,y,y,t,l,f,c,b,w,e,s,y,w,w,w,o,p,k,y,p
248,e,x,s,n,f,n,f,w,b,p,t,f,s,w,w,w,o,e,k,s,g
249,e,f,y,y,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,g
250,p,x,s,n,t,p,f,c,n,p,e,s,s,w,w,w,o,p,n,s,g
251,e,s,f,n,f,n,f,c,n,g,e,s,s,w,w,w,o,p,n,v,u
252,e,b,y,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,n,s,m
253,e,b,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,n,s,g
254,e,b,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
255,e,f,f,n,f,n,f,c,n,k,e,s,s,w,w,w,o,p,n,v,u
256,e,x,s,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,n,m
257,e,b,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,n,g
258,e,b,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
259,e,f,y,n,t,l,f,c,b,w,e,s,y,w,w,w,o,p,n,s,g
260,p,x,y,w,t,p,f,c,n,k,e,s,s,w,w,w,o,p,k,v,g
261,e,x,s,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,g
262,e,x,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,s,m
263,e,f,f,w,t,l,f,w,n,w,t,s,s,w,w,w,o,p,u,v,d
264,e,f,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,v,u
265,e,f,s,g,f,n,f,w,b,p,t,s,s,w,w,w,o,e,k,a,g
266,e,x,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,s,m
267,e,b,s,w,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m
268,p,f,y,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,s,u
269,e,x,s,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
270,p,f,s,n,t,p,f,c,n,w,e,s,s,w,w,w,o,p,k,v,u
271,e,x,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g
272,e,x,y,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
273,e,f,y,y,t,a,f,c,b,n,e,s,y,w,w,w,o,p,n,s,p
274,e,x,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,s,p
275,e,f,y,n,t,a,f,c,b,w,e,s,y,w,w,w,o,p,n,y,g
276,e,x,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,n,n,m
277,e,f,f,n,f,n,f,w,b,h,t,s,s,w,w,w,o,e,k,s,g
278,e,x,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,n,m
279,p,x,y,w,t,p,f,c,n,w,e,s,s,w,w,w,o,p,n,s,g
280,e,b,y,y,t,a,f,c,b,n,e,s,s,w,w,w,o,p,n,n,m
281,e,s,f,n,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,v,u
282,e,x,s,y,t,l,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m
283,e,b,y,w,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,n,m
284,e,f,y,n,t,a,f,c,b,n,e,s,y,w,w,w,o,p,k,s,g
285,e,b,y,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m
286,e,b,y,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g
287,e,x,y,n,t,l,f,c,b,n,e,s,y,w,w,w,o,p,n,y,p
288,e,f,f,g,f,n,f,c,n,p,e,s,s,w,w,w,o,p,n,y,u
289,e,x,f,g,f,n,f,c,n,g,e,s,s,w,w,w,o,p,k,y,u
290,e,b,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
291,e,x,s,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,m
292,e,b,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,g
293,e,x,s,w,t,a,f,c,b,g,e,s,s,w,w,w,o,p,k,s,m
294,e,b,s,y,t,a,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
295,e,x,s,y,t,a,f,c,b,k,e,s,s,w,w,w,o,p,k,s,m
296,e,x,f,g,f,n,f,w,b,p,t,f,f,w,w,w,o,e,k,s,g
297,e,f,s,y,t,a,f,w,n,p,t,s,s,w,w,w,o,p,n,v,d
298,p,x,y,w,t,p,f,c,n,p,e,s,s,w,w,w,o,p,k,s,g
299,e,x,f,w,f,n,f,w,b,k,t,f,s,w,w,w,o,e,k,a,g
300,e,b,y,w,t,a,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
301,e,x,s,y,t,l,f,w,n,w,t,s,s,w,w,w,o,p,n,v,d
302,e,b,y,w,t,a,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
303,e,x,y,w,t,l,f,c,b,g,e,s,s,w,w,w,o,p,k,s,g
304,e,x,f,n,t,n,f,c,b,p,t,s,s,g,p,w,o,p,n,y,d
305,e,b,y,w,t,l,f,c,b,k,e,s,s,w,w,w,o,p,n,s,m
306,e,x,s,y,t,l,f,c,b,g,e,s,s,w,w,w,o,p,n,n,m
307,e,f,y,n,t,a,f,c,b,p,e,s,y,w,w,w,o,p,k,y,g
308,e,x,f,w,f,n,f,w,b,n,t,s,s,w,w,w,o,e,n,s,g
309,e,x,s,y,t,l,f,c,b,w,e,s,s,w,w,w,o,p,k,s,g
310,p,x,y,w,t,p,f,c,n,n,e,s,s,w,w,w,o,p,n,v,g
311,e,x,y,y,t,l,f,c,b,n,e,s,s,w,w,w,o,p,k,s,g
